# AGNs_file: data/AGNs-2018-04-26.dat
# Using datacube fitting map to calculate the L[O III] 5007
plateifu LO3 LO3_err_low LO3_err_up LO3_redcorr LO3_redcorr_err_low LO3_redcorr_err_up outflow_strength outflow_strength_err
8990-9101 39.404599296726104 0.0025755371864771832 0.0032620127176601894 39.696225236153204 0.2965635906725694 0.5425768695201005 0.005315966624834586 0.001114979311244182
8442-9102 40.25656541194947 0.0006064184299683171 0.000657872811773534 40.56731468270314 0.04062413141699648 0.5225773755501719 0.1095706767715392 0.0012778393598984559
9048-1902 41.24448849534983 0.00031379051137744613 0.00031379051137744613 41.43302240889932 0.019950126618282556 0.43429448190325176 0.12738852620974475 0.0006704295868827254
9095-12701 40.363039969642 0.002313366929129238 0.0027672929946986604 40.694708257517874 0.3712002033219517 0.4949290950530289 0.017096880975350403 0.0021583835336076414
9196-12703 40.71080900943768 0.0015771347375635035 0.0018559602461614348 41.08956299803816 0.18149784744136357 0.4901983037656984 0.08202396192937367 0.003046498598101983
9881-1901 39.58937779582008 0.0012079169635872767 0.0014879841310514426 39.69673281980394 0.06269019491611236 0.5736138405293782 0.0 0.0
9883-12701 40.89354132548523 0.0009891841785774878 0.0010014587433785072 40.94545222590779 0.0768805034844033 0.449914626315636 0.16139498851935133 0.002278628696995619
9888-12701 40.491084482006556 0.0005889007071042831 0.0005962682321911551 40.77336745958525 0.08883744133868847 0.47374078743699294 0.0061715378336121215 0.0005863590394927079
9893-6102 39.07763664948888 0.006165661079016835 0.006400425114135772 38.998076984519074 148.26645269115144 0.4527268050595323 0.0 0.0
8656-12705 39.90364551648002 0.0032494637608992405 0.0048338065460521076 40.72569284400066 0.3890218352553971 0.5169283299540701 0.01976882536695136 0.0032740754623994746
8656-12702 39.99094714721697 0.004728323815860081 0.005074174783324084 40.20420620805833 0.1435764150451691 0.5946710441387422 0.1776652348064752 0.01068826486523724
9498-3703 40.55623189012946 0.00047662905545704445 0.0005189188658053427 40.892594930299694 0.04434478039835787 0.4603529540727893 0.029477854305260863 0.0008335325974049932
10216-3704 39.94589357128803 0.0011094031516684381 0.0011106848323612548 40.30275030792435 0.08622468181210045 0.4348963700492147 0.006082833439454699 0.0009120682070117631
10216-12704 41.111313003000284 0.000400081607333031 0.00040470500001205773 41.32309472547466 0.06902204588460088 0.5051382183587455 0.06290672716863979 0.0007868555431580726
10218-1902 39.77625947595018 0.0023394031258886375 0.00242859474671015 40.47374279165646 0.13494642672460783 0.45356450201937043 0.04721746900858032 0.0038847995433001423
10221-6104 39.52412269183076 0.0027545473910367685 0.0027545473910367685 39.732538623116255 0.12601200064360954 0.43429448190325176 0.11278611154804495 0.0052016100178252835
9503-12701 40.47407976365098 0.0005435219775111775 0.0006748701500834359 41.055987464475244 0.02700196788494756 0.6543638391975151 0.17668262206405946 0.0012746162498009674
9503-6102 41.101628173783865 0.00019110498199054055 0.00020596424141981453 41.217166122694785 0.023502989965273707 0.5088693612172569 0.07667170765712651 0.00036121891317926973
9503-3704 39.68795981808325 0.0038974243042848764 0.004365913143550058 40.14938375950068 0.12196580034908922 0.6067194174748408 0.15721622699659185 0.008751045371363547
9499-12703 39.87399836854658 0.002143746887610875 0.002475222422197738 40.25322400118092 0.09539487407375473 0.5507499780512275 0.10708151259841614 0.004535413947076559
9499-6104 40.29368393526366 0.0009649462014258681 0.0011523217621753833 40.87688948490174 0.06278603675225466 0.5470206262083933 0.14006460965202458 0.0021119301325088426
