plateifu logR_fsb1 logR_fsb1_err logR_fsb2 logR_fsb2_err logR_fsb2_orig logR_fsb2_orig_err is_limit agn_fraction agn_pixels excess
10510-6103 3.233666688240832 0.05103180840453607 3.233666688240832 0.1 3.0851487655551715 0.1 1 0.38386308068459657 471 1
10493-3704 3.3999572091700765 0.05605667396974611 3.3929579535500665 0.0592445364436003 3.21643976696902 0.09545587629731178 0 0.9151193633952255 345 0
9884-3704 3.399566723990762 0.05207845839769961 3.4413704700073886 0.050646229705743784 3.3501005376004427 0.06564768737628808 0 0.701048951048951 401 0
10494-12701 3.836530259888994 0.041513971122737664 3.8425206235781815 0.1 3.816470465960026 0.1 1 0.3620933521923621 256 1
10508-12703 3.5404998533329888 0.060646496944521136 3.582289050581655 0.06528589634876028 3.3619753005316015 0.12975827684753383 0 0.0862173649058895 142 1
10508-6101 3.4350091506307763 0.05057745019826716 3.406617238955593 0.11219567726262844 3.361120305910538 0.17012249271339863 0 1.0 518 0
10492-12702 3.1772157223920243 0.08099241850010241 3.2604585346187434 0.07315301066395083 1.6111971870845885 0.634458991805974 0 0.059654631083202514 76 1
10492-6103 3.514745085078123 0.0380045247252516 3.5364742340870583 0.12132614529417295 3.4827051534990496 0.21031073981943602 0 0.9345156889495225 685 0
9882-9102 3.548980321096259 0.0700939411921601 3.621787573594497 0.1000702992174218 3.435931221575281 0.18109414890003367 0 0.9945054945054945 181 1
9882-3701 3.2123128224292046 0.08236899032289223 3.225734285027001 0.13253025131929058 2.7253558540634755 0.48486187482207344 0 0.6920077972709552 355 0
10503-12703 3.379265459966903 0.051661830730518006 3.8300534621322875 0.0940189576737166 3.828819362635341 0.09634929355748657 0 0.24198473282442748 317 1
9091-3704 3.63766845361648 0.041833338783392626 3.611624448944764 0.170979397605975 3.520246741243704 0.26905158582150773 0 0.8038194444444444 463 0
9091-12703 3.2746078368239395 0.07853994536734157 3.2596821588940443 0.1 2.8367398812519506 0.1 1 0.2208955223880597 148 0
8337-1901 3.8663694727290445 0.08002438162559919 3.928091483819088 0.14501032067508518 3.578104717921156 0.31083582651789576 0 0.48756218905472637 98 1
9885-3703 3.2312614178213375 0.08157131167976528 3.324601168357935 0.1 2.600325298757146 0.1 1 0.7559808612440191 158 0
8334-3703 3.1421151816460773 0.08101964284245537 3.3132301935839927 0.2920505627709807 3.2050275961574144 0.4424170641335176 0 0.9315789473684211 177 1
8260-1901 3.080410374411776 0.08809701661414648 3.0746580455226846 0.1 2.646754813473204 0.1 1 0.4919786096256685 92 1
9892-3703 3.5955997769214645 0.06706103027519164 3.6404715576585964 0.07028288579176657 3.4130080661277113 0.12909623328739375 0 0.8744769874476988 209 1
8324-6104 3.8650282164422705 0.03481780991909696 4.10707858282767 0.395072176312316 4.074477603975212 0.45709823765793606 0 0.9748201438848921 542 1
8614-12703 3.305391609001548 0.058607959232100264 3.337054617256886 0.1 3.0257246649530924 0.1 1 0.6218181818181818 513 1
8614-3703 3.397113001433675 0.06493805538752263 3.393448302495724 0.06862507701535993 3.256097872626845 0.09925458759468482 0 0.94921875 486 0
9092-1902 3.555849333927896 0.05791845382936966 3.557349489070304 0.1 3.4294052423222787 0.1 1 0.5223463687150838 187 1
9032-12701 3.56177553523627 0.05503746171575071 3.6769427993964143 0.20508944302254387 3.5775144437696866 0.26865800934856565 0 0.11128608923884514 212 1
9032-12702 3.5696493334149944 0.0664223537963803 3.57309554047954 0.06957787836291354 3.385580546956838 0.12392355446927916 0 0.41493383742911155 439 0
8593-12705 3.7662049104633857 0.035096352398449736 4.108083180982821 0.06763777334808756 4.105029386460975 0.06901002955737753 0 0.38667632150615494 534 1
9090-9102 3.4382627089760596 0.08628058328189604 3.4314943462935608 0.1 3.2996800917012132 0.1 1 0.3154121863799283 264 0
9090-3701 3.540498598120147 0.05915414859038892 3.5626612882929085 0.1 3.270189096264193 0.1 1 0.6422287390029325 219 1
8651-1902 3.351137591422767 0.10621264541636105 3.5809137094412247 0.1 3.351137591422767 0.1 1 1.0 278 0
